id,title,content,rating
,Cực kì hài lòng,"Máy có ngoại hình khá bắt mắt, tốc độ xử lý đôi khi bị lag nhẹ do cấu hình vừa phải. Tuy nhiên shop giao hàng cực nhanh ngay trong ngày mùng 1 Tết (đặt hỏa tốc 2h có hàng). Đúng là Tiki và đội ngũ giao hàng Tiki làm việc rất chuyên nghiệp. Đã lâu ko sử dụng dịch vụ của Tiki, nhưng hôm nay dùng lại, quả thật vẫn rất hài lòng",5
,Cực kì hài lòng,"Thời gian đầu, ngoại trừ độ ổn định wifi, mọi thứ đều xúng đáng 5 * 
- Máy hay bị mất WIFI, phải reset cài đặt các thông số mạng.
- Sau khi reset máy lại như mới xuất xưởng, tắt tự động cập nhật linh tinh, tắt RAM ảo (không thấy tác dụng của RAM ảo), chỉ cài ít ứng ứng thật cần thiết (vì chỉ là máy phụ). Máy hiện sử dụng rất ổn. Có lẽ trước đó bị xung đột phần mềm.
- Máy chạy rất mượt, màn hình rất sáng, màu rất đẹp, camera chụp/quay sáng rõ (chống rung thiếu sáng chưa tốt lắm). Cảm biến vân tay, nhận diện khuôn mặt rất nhạy.",5
,Cực kì hài lòng,"Shiper rất nhiệt tình và tận tâm, giao hàng nhanh, đóng gói cẩn thận, *** thử máy rất tốt trong tầm giá. Hy vọng máy xài bền.",5
,Cực kì hài lòng,"Sản phẩm giá tốt, rất đáng tiền………….rẻ hơn hệ thống các cửa hàng 4***k",5
,Cực kì hài lòng,Sản phẩm chất lượng đúng như mô tả. Đóng gói cẩn thận và giao hàng nhanh.,5
,Cực kì hài lòng,Đẹp đóng gói tốt ... Giao hàng nhanh chống,5
,Cực kì hài lòng,"Cấu hình ngon trong tầm giá, thiết kế đẹp tuy nhiên cảm giác hơi nặng tay 1 chút, cần lâu thấy mỏi",5
,Cực kì hài lòng,"Giao hàng nhanh, đúng hàng, hiện tại chưa thấy lỗi",5
,Cực kì hài lòng,"Sài tốt, chụp hình đẹp",5
,Cực kì hài lòng,Sản phẩm rất ok nhân viện hỗ trợ rất nhiệt tình đánh giá 5s,5
,Cực kì hài lòng,"Hàng quá tuyệt vời, shop uy tín, giao hàng nhanh, cho shop 5 sao nhe",5
,Cực kì hài lòng,Hàng đẹp.sử dụng tốt.bộ nhớ lớn,5
,Cực kì hài lòng,Hàng chính hãng.Shop uy tín mọi người yên tâm mua hàng,5
,Cực kì hài lòng,Hàng đúng mô phỏng... ghét cái nhân viên giao hàng quá hãm l,5
,Cực kì hài lòng,Sản phẩm chính hãng chất luọng tốt,5
,Cực kì hài lòng,Giao hàng sớm hơn dự kiến,5
,Cực kì hài lòng,Hàng chính hãng ! Giá rẻ.,5
,Cực kì hài lòng,Tuyet vời với sản phẩm điện thoại,5
,Cực kì hài lòng,Tiki Trading bán hàng chất lượng,5
,Hài lòng,,4
,Cực kì hài lòng,,5
,Cực kì hài lòng,ok,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Hài lòng,ok,4
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Hài lòng,,4
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Hài lòng,,4
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,ok,5
,Cực kì hài lòng,,5
,Hài lòng,,4
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"Có 4 tr bạc được cái đt xịn sò, rất ưng shop.",5
,Cực kì hài lòng,Hàng mới 100% chính hãng.,5
,Cực kì hài lòng,,5
,Hài lòng,,4
,Cực kì hài lòng,"Máy ổn.
Dùng mượt.
Phù hợp với các bố các mẹ 
Giá cả hợp lý",5
,Cực kì hài lòng,Giao nhanh thiệt sự- Mới đặt hôm trước là hôm sau có rồi. Hàng chất lượng - full seal,5
,Cực kì hài lòng,"xịnnn , giá tốt,bộ nhớ tốt",5
,Cực kì hài lòng,"Giao hàng nhanh, máy đẹp, chỉ tiếc là không tặng kèm ốp lưng, màn không dán sẵn như note",5
,Hài lòng,Điện thoại hay đứng nhưng tầm giá này tạm chấp nhận được.,4
,Cực kì hài lòng,"đt xài tốt lắm nha, giá lại siêu tốt",5
,Cực kì hài lòng,"Mì xào ngon bổ rẽ, tốt so với tầm giá",5
,Cực kì hài lòng,Xài tháy khá ok trong tầm giá. Đôi lúc đứng má tự thoát thôi,5
,Cực kì hài lòng,Máy dùng ổn.,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"Giao hàng nhanh, nguyên seal như mô tả.",5
,Hài lòng,,4
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Hài lòng,,4
,Cực kì hài lòng,Cũng ok,5
,Hài lòng,,4
,Cực kì hài lòng,,5
,Hài lòng,,4
,Hài lòng,"Đt phù hợp giá tiền 
Ship sai hẹn",4
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"đẹp, cấu hình mạnh",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,máy chay ok nhu lau bị đơ,5
,Cực kì hài lòng,Đẹp,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"giao nhanh, mua lần 2 r",5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,,5
,Cực kì hài lòng,"Đợt này mua tặng 2 cây trắng đen nhưng quên chụp lại cây trắng. Mọi người xem đỡ cây đen nha. Cũng y chang sản xuất 2***GB mới nguyên seal. Giờ kiếm đỏ mắt ko thấy shop nào bán chính hãng mà 2023 đâu, ngay cả Apple store VN. Mấy đợt trước mua 12 - 13 - 14 Tiki cũng uy tín như vầy. Không lỗi trầy móp méo, màn hình ko đốm.",5
,Cực kì hài lòng,"Đợt này mua tặng 2 cây trắng (giao từ Hanoi) đen (giao từ Saigon) nhưng quên chụp lại cây trắng. Mọi người xem đỡ cây đen nha. Cũng y chang sản xuất 2***GB mới nguyên seal. Giờ kiếm đỏ mắt ko thấy shop nào bán chính hãng mà 2023 đâu, ngay cả Apple store VN. Mấy đợt trước mua 12 - 13 - 14 Tiki cũng uy tín như vầy. Không lỗi trầy móp méo, màn hình ko đốm.",5
,Cực kì hài lòng,"5* cho máy còn nguyên seal, hàng chính hãng VN/A, mới 100% như tiki cam kết, nhưng 1* cho thái độ bạn đi giao hàng, mình đặt tikinow, lúc giao bạn này tỏ vẻ rất khó chịu, nói chuyện cọc cằn, bạn hỏi sao địa chỉ mình xa vậy mà đặt chi vậy, nếu là người khác đi giao sẽ hủy đơn, tại bạn sẵn chuyến nên đi giao luôn, mình nói địa chỉ này tikinow hỗ trợ nên mình đặt thôi, trong khi đó mình đặt rất nhiều lần rồi, lần nào các bạn giao cũng vui vẻ, dễ chịu. Đề nghị bên Tiki check lại đơn của mình xem hôm đó ai là người đi giao và làm việc lại với bạn đó, nếu không khắc phục được tình trạng này mình sẽ không mua bên tiki nửa.",5
,Rất không hài lòng,"Mua xài mới có 1 ngày mà đã lỗi, có cuộc gọi tới đổ chuông ko hiển thị, sạc pin thì bị nóng máy, tuộc pin ko phanh, vừa cấm sạc cái hiện lên 5%. Báo trả hàng hoàn tiền thì kêu gửi về tiki kiểm tra, kiểm tra xong báo là đúng lỗi như vậy nhưng phải chờ gửi đi lên hãng kiểm định. Quá rắc rối",1
,Cực kì hài lòng,"Chất lượng sản phẩm của Shop rất tốt đẹp full box chính hãng nguyên seal rất tốt tuyệt vời, Shop đóng gói rất kỹ đẹp, thời gian giao hàng rất nhanh, em chân thành cảm ơn Shop và Anh Shipper rất nhiều ạ💖",5
,Cực kì hài lòng,"Mình mua trả góp (chi tiết hình ảnh đính kèm)
Năm sản xuất 2023. Phù hợp với tác vụ thông thường của mình, chỉ tiếc là dòng 12 trở lên mới có mở khoá ngay cả khi đeo khẩu trang (Vật Vờ Studio cũng có chỉ mẹo mở khoá IP11 khi đeo khẩu trang)",5
,Cực kì hài lòng,"Tuyệt vời

Apple đã chính thức ra mắt bộ 3 siêu phẩm iPhone 11/Pro/Pro Max, trong đó iPhone 11 là phiên bản tiêu chuẩn dành cho số đông có mức giá rất dễ chịu. Chưa hết, đánh giá iPhone 11 cho thấy máy có thể hạ gục mọi đối thủ Android. 
1. Đánh giá nhanh thiết kế iPhone 11

Thiết kế iPhone 11 không khác nhiều so với các thông tin được rò rỉ trước đó. Và điều khiến tôi thất vọng nhất trong thiết kế là mặt trước. Apple vẫn trung thành với màn hình “tai thỏ”. Trong khi đó các dòng điện thoại cao cấp Android đã sử dụng màn hình notch, màn hình không viền vô cùng ấn tượng. Ngoài ra, một điểm trừ nữa trong thiết kế iPhone 11 là các cạnh viền vẫn còn rất dày tương tự iPhone XR",5
,Cực kì hài lòng,Hiện tôi đang bị màn hình có kẻ sọc và chuyển sang màu tối đen khi đi biển. Tôi không biết xử lý như thế nào? Trước đây dùng IPhone 8 tôi cũng mang xuống biển quay Clip có bọc túi chống nước không gặp tình trạng tương tự.,5
,Cực kì hài lòng,"Tiki giao hàng sp là ip rất tốt. Chế độ bảo mật cao đối với đơn hàng có giá trị, là khách hàng mình luôn yên tâm về hàng chuẩn chính hãng va không lo gặp hành giả như tiki đã cam kết.
Hàng giao nguyên đai, nguyên kiện và bảo mật cao khi đến tay KH.",5
,Hài lòng,"Mình mua sp trên tiki giá trị cao khá nhiều, nhưng đợt tết nghe mấy đv vận chuyển tráo hàng nên mình hơi sợ. Và để đảm bảo mình đến bưu cục để lấy luôn. Máy nhìn chung ok, apple đúng biết cắt cổ ko tặng cục sạc phải mua thêm. Đt mượn do đổi từ samsung qua thử nên dùng hơi chưa quen. Nhìn chung sp ổn giá tốt hơn shop ngoài thị trường, nhưng hơi lo về khâu vận chuyện do đối tác lưu kho lâu. Mn nên mua tiki now để được ship k nên mua tỉnh lẻ quá nhiều rủi ro.",4
,Rất không hài lòng,"Cực kì không hài lòng về cách đóng hàng của Tiki với sản phẩm có giá trị lớn như iPhone. Đóng hàng cẩu thả, vận chuyển móp méo, biến dạng cạnh hộp iPhone. Nhân viên giao hàng cũng không đối soát khi giao đối với sản phẩm có giá trị lớn. Cực kì không hài lòng!!!",1
,Cực kì hài lòng,"Mua từ tháng 12/2020 đến nay là tháng 10/2022 là gần 2 năm mình quay lại viết đánh giá 5 sao thì các bạn đủ hiểu máy sử dụng ok đến mức nào, 2 năm vẫn lướt mượt mà, chưa gặp lỗi gì, pin hiện tại 82% nhưng vẫn sử dụng trọn 1 ngày đến tối mới phải sạc. Máy mát không nóng trừ lúc chơi game nặng.",5
,Hài lòng,"Máy còn nguyên hộp, chính hãng VNA .
Bảo hành đúng ngày kích hoạt máy
Tuy nhiên thời gian luân chuyển đơn hàng quá lâu ( mất hơn 1 tháng ). Trong khi bàn giao lại cho bên giao hàng chỉ mất 3 ngày thì đã nhận được máy . 
Máy giá trị cao mà chỉ quấn 1 lớp giấy bên trong ảnh hưởng hộp máy đã bị móp méo 1 góc .",4
,Cực kì hài lòng,"Chọn tikinow nên đc nhận trong ngày, đóng gói kỹ, Shipper mở cho kiểm ngoại quan tại chỗ vì đh giá trị cao, thấy đóng gói rất cẩn thận (phải chi bọc sách cũng đc dị 🥲), hộp nguyên seal, đủ pk. Đt mới, màu đẹp kích hoạt ngay ngày mua luôn, bảo hành cũng đúng 1 năm, dùng đc tầm 1 tuần thì thấy cũng ổn, trừ hết pin hơi nhanh, đc 1 ngày, à có để mở sáng màn hình không tắt không wifi cả ngày thì từ sáng tới chiều hao tầm 60~70%, cũng ok với đứa không coi phim chơi game nhiều như mình 🤣 không đòi hỏi nhiều nên nói chung khá ưng.",5
,Cực kì hài lòng,Hàng chuẩn chính hãng. Giao hàng nhanh. Nhận hàng sau khi đặt 1 ngày. Nguyên seal. Cảm ơn Tiki 😋🤔🤣😅🤩♥️🍻😄♥️👍🌿👍♥️🍷🐘🍷,5
,Cực kì hài lòng,Giao hàng cực nhanh một tiếng đã có hàng sản phẩm chính hãng sản xuất năm hai không 21 tem niêm phong của Teakey rất an tâm quá trình sử dụng ban đầu hơi khó khăn nhưng giờ đã ổn không có vấn đề gì. Tuy nhiên mình không rõ thời gian bảo hành hoặc thẻ bảo hành hoặc kích hoạt thời gian bảo hành như thế nào không được hướng dẫn.,5
,Bình thường,"sản phẩm giống quảng cáo, giao hàng nhanh đúng hẹn, máy hoạt động tốt, không gặp vấn đề gì, nhưng lúc bóc seal xong phát hiện có một vết xước nhẹ trên tay thỏ gần loa thoại chưa biết lý do, nên cho 3 sao thôi nhé.",3
