content,rating,content_clean,content_clean2,content_token
"Máy có ngoại hình khá bắt mắt, tốc độ xử lý đôi khi bị lag nhẹ do cấu hình vừa phải. Tuy nhiên shop giao hàng cực nhanh ngay trong ngày mùng 1 Tết (đặt hỏa tốc 2h có hàng). Đúng là Tiki và đội ngũ giao hàng Tiki làm việc rất chuyên nghiệp. Đã lâu ko sử dụng dịch vụ của Tiki, nhưng hôm nay dùng lại, quả thật vẫn rất hài lòng",5,máy có ngoại hình khá bắt mắt tốc độ xử lý đôi khi bị lag nhẹ do cấu hình vừa phải tuy nhiên cửa hàng giao hàng cực nhanh ngay trong ngày mùng tết đặt hỏa tốc h có hàng đúng là tiki và đội ngũ giao hàng tiki làm việc rất chuyên nghiệp đã lâu không sử dụng dịch vụ của tiki nhưng hôm nay dùng lại quả thật vẫn rất hài lòng,máy ngoại hình bắt mắt tốc độ xử lý đôi lag nhẹ do cấu hình vừa tuy nhiên cửa hàng giao hàng cực nhanh ngay mùng tết đặt hỏa tốc h hàng đúng tiki đội ngũ giao hàng tiki việc chuyên nghiệp lâu không sử dụng dịch vụ tiki hôm nay dùng quả thật hài lòng,máy ngoại_hình bắt_mắt tốc_độ xử_lý đôi lag nhẹ do cấu_hình vừa tuy_nhiên cửa_hàng giao hàng cực nhanh ngay mùng tết đặt hỏa_tốc h hàng đúng tiki đội_ngũ giao hàng tiki việc chuyên_nghiệp lâu không sử_dụng dịch_vụ tiki hôm_nay dùng quả_thật hài_lòng
"Thời gian đầu, ngoại trừ độ ổn định wifi, mọi thứ đều xúng đáng 5 * 
- Máy hay bị mất WIFI, phải reset cài đặt các thông số mạng.
- Sau khi reset máy lại như mới xuất xưởng, tắt tự động cập nhật linh tinh, tắt RAM ảo (không thấy tác dụng của RAM ảo), chỉ cài ít ứng ứng thật cần thiết (vì chỉ là máy phụ). Máy hiện sử dụng rất ổn. Có lẽ trước đó bị xung đột phần mềm.
- Máy chạy rất mượt, màn hình rất sáng, màu rất đẹp, camera chụp/quay sáng rõ (chống rung thiếu sáng chưa tốt lắm). Cảm biến vân tay, nhận diện khuôn mặt rất nhạy.",5,thời gian đầu ngoại trừ độ ổn định wifi mọi thứ đều xúng đáng máy hay bị mất wifi phải reset cài đặt các thông số mạng sau khi reset máy lại như mới xuất xưởng tắt tự động cập nhật linh tinh tắt ram ảo không thấy tác dụng của ram ảo chỉ cài ít ứng ứng thật cần thiết vì chỉ là máy phụ máy hiện sử dụng rất ổn có lẽ trước đó bị xung đột phần mềm máy chạy rất mượt màn hình rất sáng màu rất đẹp camera chụp quay sáng rõ chống rung thiếu sáng chưa tốt lắm cảm biến vân tay nhận diện khuôn mặt rất nhạy,gian đầu ngoại trừ độ ổn định wifi mọi thứ đều xúng đáng máy hay mất wifi reset cài đặt thông số mạng reset máy xuất xưởng tắt tự động cập nhật linh tinh tắt ram ảo không tác dụng ram ảo cài ít ứng ứng thật cần thiết máy phụ máy hiện sử dụng ổn lẽ đó xung đột phần mềm máy chạy mượt màn hình sáng màu đẹp camera chụp quay sáng rõ chống rung thiếu sáng tốt lắm cảm biến vân tay diện khuôn mặt nhạy,gian đầu ngoại_trừ độ ổn_định wifi mọi thứ đều xúng đáng máy hay mất wifi_reset cài_đặt thông_số mạng reset máy xuất_xưởng tắt tự_động cập_nhật_linh tinh_tắt ram_ảo không tác_dụng ram_ảo cài ít ứng_ứng thật cần_thiết máy phụ máy hiện sử_dụng ổn_lẽ đó xung_đột phần_mềm máy chạy mượt màn_hình sáng màu đẹp camera chụp quay sáng rõ chống rung thiếu sáng tốt lắm cảm_biến vân tay_diện khuôn_mặt nhạy
"Shiper rất nhiệt tình và tận tâm, giao hàng nhanh, đóng gói cẩn thận, *** thử máy rất tốt trong tầm giá. Hy vọng máy xài bền.",5,shiper rất nhiệt tình và tận tâm giao hàng nhanh đóng gói cẩn thận thử máy rất tốt trong tầm giá hy vọng máy xài bền,shiper nhiệt tình tận tâm giao hàng nhanh đóng gói cẩn thận thử máy tốt tầm giá hy vọng máy xài bền,shiper nhiệt_tình tận_tâm giao hàng nhanh đóng_gói cẩn_thận thử máy tốt tầm giá hy_vọng máy xài bền
"Sản phẩm giá tốt, rất đáng tiền………….rẻ hơn hệ thống các cửa hàng 4***k",5,sản phẩm giá tốt rất đáng tiền … … … … rẻ hơn hệ thống các cửa hàng không,sản phẩm giá tốt đáng tiền rẻ hệ thống cửa hàng không,sản_phẩm giá tốt đáng tiền rẻ hệ_thống cửa_hàng không
Sản phẩm chất lượng đúng như mô tả. Đóng gói cẩn thận và giao hàng nhanh.,5,sản phẩm chất lượng đúng như mô tả đóng gói cẩn thận và giao hàng nhanh,sản phẩm chất lượng đúng mô tả đóng gói cẩn thận giao hàng nhanh,sản_phẩm chất_lượng đúng mô_tả đóng_gói cẩn_thận giao hàng nhanh
Đẹp đóng gói tốt ... Giao hàng nhanh chống,5,đẹp đóng gói tốt giao hàng nhanh chống,đẹp đóng gói tốt giao hàng nhanh chống,đẹp đóng_gói tốt giao hàng nhanh chống
"Cấu hình ngon trong tầm giá, thiết kế đẹp tuy nhiên cảm giác hơi nặng tay 1 chút, cần lâu thấy mỏi",5,cấu hình ngon trong tầm giá thiết kế đẹp tuy nhiên cảm giác hơi nặng tay chút cần lâu thấy mỏi,cấu hình ngon tầm giá thiết kế đẹp tuy nhiên cảm giác hơi nặng tay chút cần lâu mỏi,cấu_hình ngon_tầm giá thiết_kế đẹp tuy_nhiên cảm_giác hơi nặng tay chút cần lâu mỏi
"Giao hàng nhanh, đúng hàng, hiện tại chưa thấy lỗi",5,giao hàng nhanh đúng hàng hiện tại chưa thấy lỗi,giao hàng nhanh đúng hàng hiện tại lỗi,giao hàng nhanh đúng hàng hiện_tại lỗi
"Sài tốt, chụp hình đẹp",5,xài tốt chụp hình đẹp,xài tốt chụp hình đẹp,xài tốt chụp hình đẹp
Sản phẩm rất ok nhân viện hỗ trợ rất nhiệt tình đánh giá 5s,5,sản phẩm rất ok nhân viện hỗ trợ rất nhiệt tình đánh giá s,sản phẩm ok nhân viện hỗ trợ nhiệt tình đánh giá s,sản_phẩm ok nhân_viện hỗ_trợ nhiệt_tình đánh_giá s
"Hàng quá tuyệt vời, shop uy tín, giao hàng nhanh, cho shop 5 sao nhe",5,hàng quá tuyệt vời cửa hàng uy tín giao hàng nhanh cho cửa hàng sao nhe,hàng tuyệt vời cửa hàng uy tín giao hàng nhanh cửa hàng sao nhe,hàng tuyệt_vời cửa_hàng uy_tín giao hàng nhanh cửa_hàng sao nhe
